KEGG ID,p-value,Up or Down
C00009,0.488997612,Up
C00022,0.825244477,Down
C00025,0.996541506,Down
C00049,0.488567238,Up
C00064,0.015408576,Down
C00065,0.777934199,Down
C00086,0.774884414,Down
C00097,0.578209969,Down
C00124,0.325747138,Down
C00148,0.900003382,Down
C00158,0.176110152,Down
C00183,4.68E-05,Up
C00186,0.388237049,Down
C00187,0.249084316,Down
C00188,0.486817405,Up
C00189,0.015661621,Up
C00209,0.205730989,Up
C00247,0.889312973,Down
C00249,0.685709774,Up
C00337,0.202938674,Down
C00383,0.001082739,Down
C00581,0.074138839,Down
C00643,0.243352494,Up
C00978,0.166025904,Up
C01585,0.31492026,Down
C01595,0.107491275,Up
C01712,0.726025395,Up
C02170,0.254443159,Down
C02262,0.654928279,Down
C02457,0.982948275,Up
C02497,0.537450415,Down
C02679,0.490871976,Up
C03046,0.708415821,Up
C03752,0.623700551,Up
C05145,0.57984484,Down
C05984,0.526060486,Up
C06156,0.599053589,Down
C06418,0.748008388,Down
C06424,0.706634254,Up
