Met1,Met2,Binary,Weight
1,19,1,0.0433477473802351
2,3,-1,-0.0359386861138347
2,8,-1,-0.139354554668846
2,31,1,0.0356251789714749
2,33,-1,-0.184148045681266
2,38,-1,-0.108652354533706
3,6,-1,-0.122792152067827
3,10,1,0.0341916070322394
3,14,-1,-0.0779583226000703
3,18,1,0.0806717601389728
3,33,-1,-0.065067718720533
4,6,-1,-0.0763704008506984
4,33,-1,-0.0732309520983577
5,12,-1,-0.0446657003275253
5,22,-1,-0.0291042550903237
5,27,1,0.0355505675251448
5,34,1,0.134726506109905
6,7,-1,-0.0316606506379034
6,10,1,0.0957598783109221
6,20,1,0.117393135426805
6,31,-1,-0.0499726923132781
6,33,1,0.0615143812723625
6,35,1,0.058047274440191
6,38,1,0.0482482593401219
7,10,-1,-0.0886555738512773
7,19,-1,-0.0484127130351777
7,39,-1,-0.0656934310723974
8,11,-1,-0.03685927504007
8,16,-1,-0.063859993092446
8,18,-1,-0.107968335780444
8,22,-1,-0.0856498501662323
8,23,1,0.0966268197736975
8,24,-1,-0.063921506188852
8,33,1,0.0448498921686562
8,38,-1,-0.0667353207612084
8,39,-1,-0.0580394864088342
9,12,-1,-0.0457196192488236
9,19,-1,-0.0255596941581336
10,18,-1,-0.0913085162964206
10,35,1,0.0356417534812036
10,38,-1,-0.126819826899986
11,12,1,0.106372906888153
11,16,1,0.0359840357568215
11,22,-1,-0.118644365009355
11,35,1,0.0868431720751592
12,15,-1,-0.118956849397586
12,33,-1,-0.0396687054297686
12,35,-1,-0.0398987807217656
13,15,-1,-0.118450422098196
13,16,1,0.108763047912718
13,24,1,0.0394748226094264
14,33,1,0.0543257856741499
15,31,1,0.0547853575362813
16,31,-1,-0.100218008745686
17,22,1,0.0398242318488818
17,25,1,0.0358492510330224
17,26,-1,-0.0807700819347352
17,28,-1,-0.0507642976806456
18,23,1,0.0576350824957241
18,24,-1,-0.101231148277496
18,31,-1,-0.0864051280739217
18,33,-1,-0.0426371080847068
18,35,-1,-0.0268694035230226
18,38,1,0.054179279736413
19,20,1,0.089494601548728
20,27,-1,-0.0895814009617769
20,32,-1,-0.0783945758320703
20,38,-1,-0.102103580647451
20,39,-1,-0.135159623777726
21,31,1,0.0687570941020914
21,37,1,0.090743241253594
22,36,1,0.0624681907916664
23,27,1,0.0699827959014279
23,28,1,0.0247130778070017
23,29,1,0.0350936369692919
23,33,-1,-0.0344622717931753
24,30,1,0.0381254057183748
24,37,-1,-0.057386843653881
25,37,-1,-0.0266169738226311
26,39,1,0.0876645500153588
27,39,-1,-0.0469205625202413
28,30,-1,-0.0531178860554459
28,31,-1,-0.045489780366942
32,37,-1,-0.0443758743589904
33,35,1,0.154606623318341
38,39,-1,-0.0679893644164921
